"","CASE_STATUS","PW_SKILL_LEVEL","WAGE_OFFER_UNIT_OF_PAY","MINIMUM_EDUCATION","REQUIRED_EXPERIENCE","ACCEPT_ALT_OCCUPATION","FOREIGN_LANGUAGE_REQUIRED","PROFESSIONAL_OCCUPATION","COUNTRY_OF_CITIZENSHIP","CLASS_OF_ADMISSION","FOREIGN_WORKER_EDUCATION","FOREIGN_WORKER_YRS_SINCE_ED","FOREIGN_WORKER_ED_INST_US","FOREIGN_WORKER_REQ_EXPERIENCE","FOREIGN_WORKER_EXP_WITH_EMPL","FOREIGN_WORKER_CURR_EMPLOYED","EMPLOYER_COMPLETED_APPLICATION","WAITING_PERIOD","PW_WAGE_HOURLY"
"128",1,2,1,"Bachelor's",1,1,0,1,"CHINA","F-1","Master's",3,"1","N","0",1,0,221,48.8201923076923
"129",1,1,1,"Master's",1,1,0,1,"IRAN","F-1","Master's",3,"1","Y","0",1,0,184,33.4701923076923
"130",1,3,1,"Master's",0,1,0,1,"INDIA","H-1B","Bachelor's",8,"0","N/A","0",1,0,188,47.0100961538462
"131",1,2,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",3,"1","N/A","0",1,0,134,57.9701923076923
"132",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",15,"0","N/A","0",1,0,255,52.3
"133",1,2,1,"Master's",0,1,0,1,"COLOMBIA","H-1B","Master's",4,"1","N/A","0",1,0,201,29.0399038461538
"134",1,2,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",6,"1","N/A","0",1,0,253,39.0201923076923
"135",1,2,1,"Bachelor's",1,1,0,1,"CHINA","H-1B","Master's",6,"1","Y","0",1,0,240,28.8701923076923
"136",1,1,1,"Bachelor's",1,1,0,1,"POLAND","H-1B","Bachelor's",5,"1","N","0",1,0,291,44.8
"137",1,2,1,"Master's",1,1,0,1,"GERMANY","H-1B","Bachelor's",8,"0","N","0",1,0,195,78.3399038461538
"138",1,4,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",16,"0","N","0",1,0,342,73.9399038461538
"139",1,2,1,"Master's",0,0,0,1,"INDIA","F-1","Master's",1,"1","N/A","UNK",1,0,139,54.3798076923077
"140",1,2,1,"Bachelor's",0,0,0,1,"INDIA","H-1B","Master's",9,"1","N/A","0",1,0,180,37.3298076923077
"141",1,2,1,"Master's",0,1,0,1,"CHINA","H-1B","Master's",6,"1","N/A","0",1,0,173,34.4600961538462
"142",1,3,1,"Master's",0,1,0,1,"FRANCE","E-2","Master's",4,"0","N/A","0",1,0,174,70.0600961538462
"143",1,3,1,"Master's",0,1,0,1,"CHINA","H-1B","Master's",6,"1","N/A","0",1,0,211,31.7
"144",1,2,1,"Master's",0,0,0,1,"INDIA","H-1B","Master's",4,"1","N/A","0",1,0,204,50.5100961538462
"145",1,0,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Master's",15,"0","N/A","0",1,0,336,46.1932692307692
"146",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",8,"1","N","0",1,0,184,49.6
"147",1,3,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",6,"1","N/A","0",1,0,161,46.4600961538462
"148",1,3,1,"Master's",1,0,0,1,"PHILIPPINES","H-1B","Master's",5,"1","Y","0",1,0,176,58.7600961538462
"149",1,4,1,"Bachelor's",1,1,0,1,"ITALY","H-1B","Bachelor's",18,"0","Y","0",1,0,152,39.5100961538462
"150",1,4,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",17,"0","N/A","0",1,0,241,57.35
"151",1,2,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",10,"UNK","N/A","0",1,0,216,44.1201923076923
"152",1,4,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",6,"1","N/A","0",1,0,155,61.1298076923077
"153",1,4,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",11,"1","N","0",1,0,358,109.520192307692
"154",1,4,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",11,"0","N","0",1,0,156,56.2600961538462
"155",1,1,1,"Bachelor's",0,0,0,1,"CHINA","H-1B","Bachelor's",5,"1","N/A","UNK",1,0,482,44.8
"156",1,1,1,"Bachelor's",1,1,0,1,"SOUTH KOREA","J-1","Bachelor's",17,"0","N","0",0,0,170,25.3399038461538
"157",1,4,1,"Bachelor's",1,0,0,1,"INDIA","H-1B","Bachelor's",12,"0","Y","0",1,0,197,66.0701923076923
"158",1,4,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",13,"0","N","0",1,0,333,66.0701923076923
"159",1,3,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",7,"1","N/A","0",1,0,185,57.8798076923077
"160",1,0,1,"Master's",0,0,0,1,"NIGERIA","H-1B","Master's",4,"1","N/A","UNK",1,0,163,37.2355769230769
"161",1,4,1,"Bachelor's",1,1,0,1,"INDIA","L-1","Bachelor's",14,"0","N","0",1,0,281,67.6201923076923
"162",1,2,1,"Bachelor's",0,0,0,1,"CHINA","H-1B","Master's",13,"1","N/A","UNK",1,0,187,46.4399038461538
"163",1,4,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",15,"0","N/A","0",1,0,143,66.7399038461539
"164",1,2,1,"Bachelor's",1,1,0,1,"CHINA","H-1B","Master's",4,"1","N","0",1,0,186,35.4
"165",1,4,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",5,"1","Y","0",1,0,174,82.15
"166",1,4,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Master's",15,"0","N/A","0",1,0,188,47.0201923076923
"167",1,1,1,"Bachelor's",1,0,0,1,"IRAN","F-1","Bachelor's",3,"1","Y","0",1,1,189,17.8600961538462
"168",1,4,1,"Bachelor's",1,0,0,1,"INDIA","H-1B","Bachelor's",14,"UNK","Y","0",1,0,220,54.6298076923077
"169",1,4,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",12,"0","N/A","0",1,0,213,64.8701923076923
"170",1,4,1,"None",1,1,0,1,"INDIA","H-1B","Bachelor's",12,"0","Y","0",1,0,205,64.8701923076923
"171",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",4,"1","Y","0",1,0,343,42.0600961538462
"172",1,2,1,"Master's",0,0,0,1,"TAIWAN","H-1B","Master's",6,"1","N/A","UNK",1,0,490,51.1298076923077
"173",1,0,1,"Doctorate",0,0,0,0,"SPAIN","UNK","Doctorate",7,"0","N/A","UNK",1,0,161,37.5
"174",1,2,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",7,"0","N/A","0",1,0,206,45.3399038461538
"175",1,1,1,"Bachelor's",1,1,0,1,"AUSTRALIA","E-3","Bachelor's",10,"0","N","0",1,0,129,44.2798076923077
"176",1,2,1,"Master's",0,0,0,1,"HONG KONG","H-1B","Master's",2,"1","N/A","0",1,0,348,54.5100961538462
"177",1,2,1,"Master's",0,0,0,1,"INDIA","H-1B","Master's",5,"1","N/A","UNK",1,0,168,38.25
"178",1,2,1,"Bachelor's",1,1,0,1,"NIGERIA","L-1","Bachelor's",8,"0","N","0",1,0,204,50.7798076923077
"179",1,4,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",15,"0","N/A","0",1,0,322,64.7100961538462
"180",1,1,1,"None",0,0,0,0,"PAKISTAN","Not in USA","High School",29,"0","N/A","UNK",0,0,356,11.7298076923077
"181",1,3,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",5,"1","N/A","0",1,0,165,65.9899038461539
"182",1,2,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",5,"1","N/A","0",1,0,175,56.6201923076923
"183",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",3,"1","Y","0",1,0,181,46.8298076923077
"184",1,1,1,"Bachelor's",1,1,0,1,"VENEZUELA","H-1B","Bachelor's",7,"0","N","0",1,0,214,16.6701923076923
"185",1,2,1,"Master's",0,0,0,1,"INDIA","H-1B","Master's",5,"1","N/A","UNK",1,0,320,45.6298076923077
"186",1,3,1,"Master's",0,0,0,1,"INDIA","H-1B","Master's",7,"1","N/A","UNK",1,0,180,53.05
"187",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",17,"0","Y","0",1,0,223,44.4399038461538
"188",1,2,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",10,"0","N/A","0",1,0,175,36.6701923076923
"189",1,3,1,"Doctorate",0,0,0,1,"INDIA","H-1B","Doctorate",2,"1","N/A","UNK",1,0,144,44.7298076923077
"190",1,1,1,"Doctorate",0,0,0,0,"CHINA","F-1","Doctorate",2,"1","N/A","UNK",1,0,224,24.9230769230769
"191",1,4,1,"High School",1,0,0,0,"VENEZUELA","B-2","High School",27,"0","Y","0",0,1,338,11.0899038461538
"192",1,1,1,"Bachelor's",1,0,0,1,"UKRAINE","H-1B","Bachelor's",11,"0","Y","0",1,0,200,29.25
"193",1,1,1,"Bachelor's",1,1,0,1,"MEXICO","H-1B","Bachelor's",4,"1","N","0",1,0,171,38.5798076923077
"194",1,1,1,"Doctorate",0,0,0,0,"CHINA","H-1B","Doctorate",2,"1","N/A","UNK",1,0,175,19.4423076923077
"195",1,2,1,"Bachelor's",0,0,0,1,"PHILIPPINES","UNK","Bachelor's",4,"0","N/A","UNK",0,0,143,20.8600961538462
"196",1,2,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",1,"1","N/A","0",1,0,125,38.0899038461538
"197",1,3,1,"Master's",0,0,0,1,"INDIA","H-1B","Master's",4,"1","N/A","UNK",1,0,180,42.3899038461538
